file_name,num_classes,num_methods,num_reflections,num_file_operations,num_network_operations
modules\core\src\main\java\org\apache\synapse\config\xml\HeaderMediatorFactory.java,1,4,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\HeaderMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\IEntryFactory.java,0,1,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\IEntrySerializer.java,0,1,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\InMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\InMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\InvokeMediatorFactory.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\InvokeMediatorSerializer.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\IterateMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\IterateMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\LogMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\LogMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\LoopbackMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\LoopbackMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\MediatorFactory.java,0,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\MediatorFactoryFinder.java,1,8,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\MediatorPropertyFactory.java,1,1,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\MediatorPropertySerializer.java,1,4,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\MediatorSerializer.java,0,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\MediatorSerializerFinder.java,1,5,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\MessageProcessorFactory.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\MessageProcessorSerializer.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\MessageStoreFactory.java,1,4,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\MessageStoreMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\MessageStoreMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\MessageStoreSerializer.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\MultiXMLConfigurationBuilder.java,1,18,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\MultiXMLConfigurationSerializer.java,1,31,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\OMElementUtils.java,1,1,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\OutMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\OutMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\package-info.java,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\PayloadFactoryMediatorFactory.java,1,4,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\PayloadFactoryMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\POJOCommandMediatorFactory.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\POJOCommandMediatorSerializer.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\PropertyHelper.java,1,5,18,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\PropertyMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\PropertyMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ProxyServiceFactory.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ProxyServiceSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\RegistryFactory.java,1,4,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\RegistrySerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ResourceMapFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ResourceMapSerializer.java,1,1,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\RespondMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\RespondMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SamplingThrottleMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SamplingThrottleMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SendMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SendMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SequenceMediatorFactory.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SequenceMediatorSerializer.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\StartupFactory.java,0,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\StartupFinder.java,1,11,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\StartupSerializer.java,0,1,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SwitchCase.java,1,8,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SwitchMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SwitchMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SynapseImportFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SynapseImportSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SynapseMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SynapseMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SynapseXMLConfigurationFactory.java,1,21,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SynapseXMLConfigurationSerializer.java,1,13,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SynapseXPathFactory.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\SynapseXPathSerializer.java,1,4,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\TargetFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\TargetSerializer.java,1,1,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\TemplateMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\TemplateMediatorSerializer.java,1,4,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\TemplateParameterFactory.java,1,1,0,0,0
